Date,open,high,low,close,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend,open_norm,high_norm,low_norm,close_norm
2013/8/5,28.0,38.0,35.0,38.0,38.0,[],None,3.3333333333333335,0.0,-2.3333333333333335,,0,0.13354664870326705,0.19613196814562,0.21392476137001687,0.19613196814562
2013/8/8,40.0,40.0,40.0,40.0,40.0,"['inverse hammer', 'hammer', 'doji', 'hanging man', 'shooting star']",None,,,,,0,0.23459077130346917,0.21130072051573756,0.2607149541456111,0.21130072051573756
2013/8/9,40.0,40.0,40.0,40.0,40.0,"['inverse hammer', 'hammer', 'doji', 'hanging man', 'shooting star']",None,,,,,0,0.23459077130346917,0.21130072051573756,0.2607149541456111,0.21130072051573756
2013/8/12,40.0,42.0,41.0,42.0,42.0,['bullish engulfing'],None,2.0,0.0,-1.0,,0,0.23459077130346917,0.22646947288585512,0.27007299270072993,0.22646947288585512
2013/8/14,42.0,42.0,41.0,42.0,42.0,['doji'],None,0.0,0.0,1.0,,0,0.25143145840350284,0.22646947288585512,0.27007299270072993,0.22646947288585512
2013/8/15,42.0,43.0,43.0,43.0,43.0,['bullish engulfing'],None,inf,,-inf,,0,0.25143145840350284,0.23405384907091387,0.28878906981096764,0.23405384907091387
2013/8/20,43.0,43.0,43.0,43.0,43.0,"['inverse hammer', 'hammer', 'doji', 'hanging man', 'shooting star']",None,,,,,0,0.2598518019535197,0.23405384907091387,0.28878906981096764,0.23405384907091387
2013/8/22,45.0,48.0,47.0,48.0,48.0,[],None,3.0,0.0,-2.0,,0,0.27669248905355337,0.2719757299962078,0.32622122403144305,0.2719757299962078
2013/8/23,45.0,48.0,47.0,48.0,48.0,[],None,3.0,0.0,-2.0,,0,0.27669248905355337,0.2719757299962078,0.32622122403144305,0.2719757299962078
2013/8/28,48.0,50.0,48.0,50.0,50.0,['three white soldiers'],None,1.0,0.0,0.0,,0,0.30195351970360385,0.28714448236632534,0.3355792625865619,0.28714448236632534
2013/8/29,50.0,55.0,52.0,55.0,55.0,['three white soldiers'],None,1.6666666666666667,0.0,-0.6666666666666666,,0,0.31879420680363757,0.3250663632916192,0.37301141680703725,0.3250663632916192
2013/9/2,55.0,68.0,60.0,68.0,68.0,['three white soldiers'],None,1.625,0.0,-0.625,,0,0.36089592455372177,0.42366325369738334,0.447875725247988,0.42366325369738334
2013/9/4,68.0,72.0,68.0,72.0,72.0,['three white soldiers'],None,1.0,0.0,0.0,,0,0.47036039070394065,0.45400075843761845,0.5227400336889388,0.45400075843761845
2013/9/6,72.0,78.0,75.0,78.0,78.0,['three white soldiers'],None,2.0,0.0,-1.0,,0,0.504041764904008,0.49950701554797106,0.5882463035747707,0.49950701554797106
2013/9/9,78.0,87.0,83.0,87.0,87.0,['three white soldiers'],None,2.25,0.0,-1.25,,0,0.554563826204109,0.5677664012135001,0.6631106120157215,0.5677664012135001
2013/9/10,87.0,92.95,92.95,92.95,92.95,['three white soldiers'],None,inf,,-inf,,0,0.6303469181542606,0.6128934395145998,0.7562230956391541,0.6128934395145998
2013/9/11,92.95,102.0,85.0,102.0,102.0,['three white soldiers'],None,0.5323529411764705,0.0,0.4676470588235296,,0,0.6804479622768609,0.6815320439893817,0.6818266891259592,0.6815320439893817
